#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.base.inference.CompoundDistribution">
#    <distribution id="prior" spec="beast.base.inference.CompoundDistribution">
#        <distribution id="YuleModel.t:16s_all_MAFFT" spec="beast.base.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:16s_all_MAFFT" lower="0.0" name="birthDiffRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:16s_all_MAFFT" spec="beast.base.evolution.tree.Tree">
#                <taxonset id="TaxonSet.16s_all_MAFFT" spec="beast.base.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:16s_all_MAFFT" name="distribution" x="@birthRate.t:16s_all_MAFFT">
#            <Gamma id="Gamma.6" name="distr">
#                <parameter estimate="false" id="RealParameter.14" name="alpha" spec="beast.base.inference.parameter.RealParameter">2.0</parameter>
#                <parameter estimate="false" id="RealParameter.15" name="beta" spec="beast.base.inference.parameter.RealParameter">2.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="RateACPrior.s:16s_all_MAFFT" name="distribution">
#            <parameter id="rateAC.s:16s_all_MAFFT" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="alpha" spec="beast.base.inference.parameter.RealParameter">0.05</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="beta" spec="beast.base.inference.parameter.RealParameter">10.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="RateATPrior.s:16s_all_MAFFT" name="distribution">
#            <parameter id="rateAT.s:16s_all_MAFFT" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <Gamma id="Gamma.2" name="distr">
#                <parameter estimate="false" id="RealParameter.5" name="alpha" spec="beast.base.inference.parameter.RealParameter">0.05</parameter>
#                <parameter estimate="false" id="RealParameter.6" name="beta" spec="beast.base.inference.parameter.RealParameter">10.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="RateCGPrior.s:16s_all_MAFFT" name="distribution">
#            <parameter id="rateCG.s:16s_all_MAFFT" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <Gamma id="Gamma.3" name="distr">
#                <parameter estimate="false" id="RealParameter.7" name="alpha" spec="beast.base.inference.parameter.RealParameter">0.05</parameter>
#                <parameter estimate="false" id="RealParameter.8" name="beta" spec="beast.base.inference.parameter.RealParameter">10.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="RateGTPrior.s:16s_all_MAFFT" name="distribution">
#            <parameter id="rateGT.s:16s_all_MAFFT" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <Gamma id="Gamma.5" name="distr">
#                <parameter estimate="false" id="RealParameter.11" name="alpha" spec="beast.base.inference.parameter.RealParameter">0.05</parameter>
#                <parameter estimate="false" id="RealParameter.12" name="beta" spec="beast.base.inference.parameter.RealParameter">10.0</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.base.inference.CompoundDistribution" useThreads="true">
#        <distribution data="@16s_all_MAFFT" id="treeLikelihood.16s_all_MAFFT" spec="beast.base.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:16s_all_MAFFT">
#            <siteModel id="SiteModel.s:16s_all_MAFFT" spec="beast.base.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:16s_all_MAFFT" lower="0.0" name="mutationRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:16s_all_MAFFT" lower="0.1" name="shape" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:16s_all_MAFFT" lower="0.0" name="proportionInvariant" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="gtr.s:16s_all_MAFFT" rateAC="@rateAC.s:16s_all_MAFFT" rateAT="@rateAT.s:16s_all_MAFFT" rateCG="@rateCG.s:16s_all_MAFFT" rateGT="@rateGT.s:16s_all_MAFFT" spec="beast.base.evolution.substitutionmodel.GTR">
#                    <parameter estimate="false" id="rateAG.s:16s_all_MAFFT" lower="0.0" name="rateAG" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                    <parameter estimate="false" id="rateCT.s:16s_all_MAFFT" lower="0.0" name="rateCT" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                    <frequencies data="@16s_all_MAFFT" id="empiricalFreqs.s:16s_all_MAFFT" spec="beast.base.evolution.substitutionmodel.Frequencies"/>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:16s_all_MAFFT" spec="beast.base.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:16s_all_MAFFT" lower="0.0" name="clock.rate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	YuleModel	birthRate	rateAC	rateAT	rateCG	rateGT
27000	-6337.880504279482	-6334.656791659155	-3.2237126203276416	-6334.656791659155	0.17290728525124874	0.706944927993387	10.82552542923949	7.523426916124506	0.8361138846478516	1.0	0.19563773570129683	1.0
28000	-6337.992524799213	-6334.479756003332	-3.5127687958812226	-6334.479756003332	0.1788238753283964	0.7385743657450771	10.1646438123011	6.481697388702648	0.8361138846478516	1.0	0.19563773570129683	1.0
29000	-6334.477812002268	-6330.758569458387	-3.719242543882025	-6330.758569458387	0.17075915106142237	0.677248175998428	11.739123030103089	11.123815114398043	0.8361138846478516	1.0	0.19563773570129683	1.0
30000	-6335.262964099398	-6331.383799923867	-3.879164175531109	-6331.383799923867	0.15660610037527312	0.6669692101642498	11.87495476507369	11.840135335532011	0.8361138846478516	1.0	0.19563773570129683	1.0
31000	-6340.489144056221	-6336.499611755588	-3.989532300633254	-6336.499611755588	0.1854062811831249	0.7584047198580198	10.802953541318052	9.470173468053133	0.8361138846478516	1.0	0.19563773570129683	1.0
32000	-6335.495306470856	-6331.982240802177	-3.513065668678972	-6331.982240802177	0.16383885744840818	0.6828190554469437	11.628201430914665	10.344315893664774	0.8361138846478516	1.0	0.19563773570129683	1.0
33000	-6339.513501641791	-6335.115465199014	-4.398036442777474	-6335.115465199014	0.16752875209551624	0.6779553120448438	11.72207504302246	12.714638193100205	0.8361138846478516	1.0	0.19563773570129683	1.0
34000	-6331.771890227991	-6328.680438465707	-3.0914517622845468	-6328.680438465707	0.16946108494333856	0.6826288477431849	10.70653644452198	6.826511233995136	0.8361138846478516	1.0	0.19563773570129683	1.0
35000	-6335.35239112606	-6332.308035151433	-3.0443559746270124	-6332.308035151433	0.16272922139517534	0.6790672738464189	11.29029307704955	8.287766449752395	0.8361138846478516	1.0	0.19563773570129683	1.0
36000	-6311.335403967314	-6308.353429593446	-2.9819743738684537	-6308.353429593446	0.17531233987078618	0.6969673600623696	11.28422054564762	8.894163497096494	0.8361138846478516	1.0	0.19563773570129683	0.7479976636731575
37000	-6313.110343703194	-6310.140391101911	-2.969952601283837	-6310.140391101911	0.17058884715943085	0.710641492857472	10.570136900553928	6.948098025710604	0.8361138846478516	1.0	0.19563773570129683	0.7479976636731575
38000	-6311.823482479049	-6309.40254838183	-2.4209340972194746	-6309.40254838183	0.1739130189417382	0.6880104375225105	11.068840114452888	7.806915249440717	0.8361138846478516	1.0	0.1343461424155333	0.7479976636731575
39000	-6291.732404162993	-6288.403307347029	-3.329096815963743	-6288.403307347029	0.17307037417687635	0.6723981650227017	11.777227680393118	13.020712458655618	0.8361138846478516	1.0	0.1343461424155333	0.46550292441617364
40000	-6278.08883744684	-6273.152494769979	-4.93634267686172	-6273.152494769979	0.16710519586217795	0.6961607117445151	11.032067718195444	16.05113107890855	0.8361138846478516	1.0	0.1343461424155333	0.2969641610757083
41000	-6273.944349357045	-6271.484746406478	-2.45960295056741	-6271.484746406478	0.18981220565679335	0.7350815094580735	11.03828492879189	12.264248534183311	0.8361138846478516	1.0	0.055589938125611894	0.2969641610757083
42000	-6274.909826314433	-6273.444461864397	-1.4653644500358751	-6273.444461864397	0.17422254924479647	0.7287601405912252	9.333904068899765	5.119904619773868	0.8361138846478516	1.0	0.055589938125611894	0.2969641610757083
43000	-6272.066265096026	-6271.598173180366	-0.4680919156598251	-6271.598173180366	0.16378751855358573	0.6952682128035111	11.529540405299963	10.847150436532365	0.7705587594590022	1.0	0.023273832925785682	0.2969641610757083
44000	-6269.384430887603	-6269.00818173679	-0.3762491508128645	-6269.00818173679	0.17003843787538198	0.6758064584076626	10.609785414533214	6.551095064537065	0.7705587594590022	1.0	0.04517103281312852	0.2969641610757083
45000	-6273.170502629607	-6272.127955926113	-1.0425467034939966	-6272.127955926113	0.16293391283701225	0.6776902214821469	11.73771211534536	11.21473646845533	0.7705587594590022	1.0	0.04517103281312852	0.2969641610757083
46000	-6268.942081638306	-6266.039153929743	-2.902927708562856	-6266.039153929743	0.16799281465299004	0.6722144815814126	11.455725099664283	15.820249207755934	0.7705587594590022	0.6921769063001013	0.04517103281312852	0.2969641610757083
47000	-6260.274075925236	-6260.653063714902	0.378987789665866	-6260.653063714902	0.16456650336301623	0.6690290347317476	11.616883337181676	9.29341043898733	0.5248767614928954	0.6921769063001013	0.04517103281312852	0.2969641610757083
48000	-6260.9245689787585	-6260.749343619725	-0.17522535903408087	-6260.749343619725	0.16675849871586793	0.6911327524055578	11.587670987608279	11.90819367446155	0.5248767614928954	0.6921769063001013	0.025787675343400124	0.2969641610757083
49000	-6263.027652746206	-6263.628080185179	0.6004274389734285	-6263.628080185179	0.17364672092579186	0.7006102930908265	10.86246701015384	7.494051630574933	0.5248767614928954	0.6921769063001013	0.033281429760405316	0.2969641610757083
50000	-6263.714053646894	-6262.877204760876	-0.8368488860182153	-6262.877204760876	0.18135024472289113	0.7356417499310469	11.091139785974534	10.755085990875846	0.5248767614928954	0.6921769063001013	0.05043944777815562	0.2969641610757083
51000	-6253.570178346338	-6254.393508387388	0.8233300410489466	-6254.393508387388	0.16131913406522003	0.6866802421391096	11.052422179017722	7.728821654774193	0.5248767614928954	0.6921769063001013	0.05043944777815562	0.1747097309394333
